state,lg,ward,state_code,lg_code,ward_code,pu_code,code,location,ward_des,lg_des
EDO,12,01,12,04,01,001,12/04/01/001,Uromi Town Hall,Uromi I,Esan North-East
EDO,12,01,12,04,01,002,12/04/01/002,Uromi Market Square,Uromi I,Esan North-East
EDO,12,02,12,04,02,001,12/04/02/001,Irrua General Hospital,Irrua,Esan North-East
EDO,12,02,12,04,02,002,12/04/02/002,Irrua Grammar School,Irrua,Esan North-East
EDO,12,03,12,04,03,001,12/04/03/001,Ewu Primary School,Ewu,Esan North-East
EDO,12,04,12,04,04,001,12/04/04/001,Ubiaja Community Hall,Ubiaja,Esan North-East
EDO,12,05,12,05,01,001,12/05/01/001,Ugboha Town Hall,Ugboha,Esan South-East
EDO,12,05,12,05,01,002,12/05/01/002,Ugboha Market,Ugboha,Esan South-East
EDO,12,06,12,05,02,001,12/05/02/001,Ewohimi Central School,Ewohimi,Esan South-East
EDO,12,06,12,05,02,002,12/05/02/002,Ewohimi Health Centre,Ewohimi,Esan South-East
EDO,12,07,12,05,03,001,12/05/03/001,Opoji Community Hall,Opoji,Esan South-East
EDO,12,08,12,05,04,001,12/05/04/001,Illushi Waterfront,Illushi,Esan South-East
EDO,12,09,12,05,05,001,12/05/05/001,Ifeku Island,Ifeku,Esan South-East
