state_code,lg_code,ward_code,pu_code,code,name,ward,lga,latitude,longitude,cvr_pu_id
12,01,01,001,12/01/01/001,"UGBOGBO, OZEDI",IGARRA I,AKOKO EDO,7.29809837,6.10351720,34059
12,01,01,002,12/01/01/002,"UGBOGBO, BY CO-OPERATIVE STORE",IGARRA I,AKOKO EDO,7.29723412,6.10318407,34060
12,01,01,003,12/01/01/003,"UGBOGBO, KAJOLA ROAD",IGARRA I,AKOKO EDO,7.29589789,6.10215743,34061
12,01,01,004,12/01/01/004,"UGBOGBO NR.,  OMOKHIDE'S HOUSE",IGARRA I,AKOKO EDO,7.29709943,6.10106378,34062
12,01,01,005,12/01/01/005,"UGBOGBO, SECRETARIAT ROAD",IGARRA I,AKOKO EDO,7.29179216,6.10133351,34063
12,01,01,006,12/01/01/006,"UGBOGBO, OPPOSITE L.G. COUNCIL",IGARRA I,AKOKO EDO,7.28500845,6.09668473,34064
12,01,01,007,12/01/01/007,"UGBOGBO, OFUNAMI MKT. SQUARE",IGARRA I,AKOKO EDO,7.29565694,6.10947301,34065
12,01,01,008,12/01/01/008,"UGBOGBO, OPPOSITE OGOGORO JUNCTION I",IGARRA I,AKOKO EDO,7.29080394,6.10558624,34066
12,01,01,009,12/01/01/009,"UGBOGBO, BY LAWANI'S HOUSE",IGARRA I,AKOKO EDO,7.29382604,6.10446210,34067
12,01,01,010,12/01/01/010,UGBOGBO OPPOSITE OGOGORO JUNCTION II,IGARRA I,AKOKO EDO,7.29027709,6.09983353,34068
12,01,01,011,12/01/01/011,"UGBOGBO, NEAR ASHIPA'S COMP.",IGARRA I,AKOKO EDO,7.29256112,6.10344047,34069
12,01,01,012,12/01/01/012,"UGBOGBO, NEAR LAREMOH'S COMP.",IGARRA I,AKOKO EDO,7.29575621,6.10447959,34070
12,01,01,013,12/01/01/013,"UGBOGBO, NR. JIMOH OCHIS HOUSE",IGARRA I,AKOKO EDO,7.29539635,6.10667117,34071
12,01,02,001,12/01/02/001,"UTUA I, UTUA PRY SCH.",IGARRA II,AKOKO EDO,7.28225205,6.10589113,34072
12,01,02,002,12/01/02/002,"UTUA I,  BY AJAYI'S COMP.",IGARRA II,AKOKO EDO,7.28142369,6.10933844,34073
12,01,02,003,12/01/02/003,"UTUA I, OPPOSITE CUSTOMARY COURT",IGARRA II,AKOKO EDO,7.28927085,6.09900150,34074
12,01,02,004,12/01/02/004,UTUA NR. GADIMOH'S HOUSE,IGARRA II,AKOKO EDO,7.27839404,6.10957138,34075
12,01,02,005,12/01/02/005,"UTUA I, GODSTIME NURSERY SCHOOL",IGARRA II,AKOKO EDO,7.27606453,6.10644860,34076
12,01,02,006,12/01/02/006,"UFA II, IRETOJI PRIMARY SCHOOL",IGARRA II,AKOKO EDO,7.27576081,6.11496016,34077
12,01,02,007,12/01/02/007,"UFA II, NR EDEKI'S HOUSE",IGARRA II,AKOKO EDO,7.27244533,6.11883110,34078
12,01,02,008,12/01/02/008,"UFA II, BY OVOKO'S HOUSE",IGARRA II,AKOKO EDO,7.27285763,6.11962821,34079
12,01,02,009,12/01/02/009,"UFA II, BY OMOLOJU'S COMP.",IGARRA II,AKOKO EDO,7.26734451,6.12449660,34080
12,01,02,010,12/01/02/010,"UFA II, UFA HALL",IGARRA II,AKOKO EDO,7.27580749,6.12070875,34081
12,01,02,011,12/01/02/011,"UFA II, NR. ADAMAGBO'S HOUSE",IGARRA II,AKOKO EDO,7.27577412,6.12197527,34082
12,01,02,012,12/01/02/012,"UFA II, NR. ADAMS HS",IGARRA II,AKOKO EDO,7.27620424,6.12421120,34083
