state,lg,ward,state_code,lg_code,ward_code,pu_code,code,location,ward_des,lg_des
EDO,01,01,12,01,01,001,12/01/01/001,"UGBOGBO, OZEDI",Igarra I,Akoko Edo
EDO,01,01,12,01,01,002,12/01/01/002,"UGBOGBO, BY CO-OPERATIVE STORE",Igarra I,Akoko Edo
EDO,01,01,12,01,01,003,12/01/01/003,"UGBOGBO, KAJOLA ROAD",Igarra I,Akoko Edo
EDO,01,01,12,01,01,004,12/01/01/004,"UGBOGBO NR.,  OMOKHIDE'S HOUSE",Igarra I,Akoko Edo
EDO,01,01,12,01,01,005,12/01/01/005,"UGBOGBO, SECRETARIAT ROAD",Igarra I,Akoko Edo
EDO,01,01,12,01,01,006,12/01/01/006,"UGBOGBO, OPPOSITE L.G. COUNCIL",Igarra I,Akoko Edo
EDO,01,01,12,01,01,007,12/01/01/007,"UGBOGBO, OFUNAMI MKT. SQUARE",Igarra I,Akoko Edo
EDO,01,01,12,01,01,008,12/01/01/008,"UGBOGBO, OPPOSITE OGOGORO JUNCTION.",Igarra I,Akoko Edo
EDO,01,01,12,01,01,009,12/01/01/009,"UGBOGBO, BY LAWANI'S HOUSE",Igarra I,Akoko Edo
EDO,01,01,12,01,01,010,12/01/01/010,UGBOGBO OPPOSITE OGOGORO JN,Igarra I,Akoko Edo
EDO,01,01,12,01,01,011,12/01/01/011,"UGBOGBO, NEAR ASHIPA'S COMP.",Igarra I,Akoko Edo
EDO,01,01,12,01,01,012,12/01/01/012,"UGBOGBO, NEAR LAREMOH'S COMP.",Igarra I,Akoko Edo
EDO,01,01,12,01,01,013,12/01/01/013,"UGBOGBO, NR. JIMOH OCHIS HOUSE",Igarra I,Akoko Edo
EDO,01,01,12,01,01,014,12/01/01/014,UGBOGBO NEAR OMOKHIDES HOUSE II,Igarra I,Akoko Edo
EDO,01,01,12,01,01,015,12/01/01/015,COMPREHENSIVE HIGH SCH IGARRA,Igarra I,Akoko Edo
EDO,01,01,12,01,01,016,12/01/01/016,"LOCAL GOVT EDU AUTHORITY, IGARRA",Igarra I,Akoko Edo
EDO,01,01,12,01,01,017,12/01/01/017,"IRETUTU PRY SCHOOL, IGARRA",Igarra I,Akoko Edo
EDO,01,01,12,01,01,000,12/01/01/000,12/01/01/000,Igarra I,Akoko Edo
EDO,01,02,12,01,02,001,12/01/02/001,"UTUA 1, UTUA P/S",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,002,12/01/02/002,"UTUA I,  BY AJAYI'S COMP.",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,003,12/01/02/003,"UTUA I, OPPOSITE CUSTOMARY COURT",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,004,12/01/02/004,UTUA NR. GADIMOH'S HOUSE,Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,005,12/01/02/005,"UTUA I, GODSTIME NURSERY SCHOOL",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,006,12/01/02/006,"UFA II, IRETOJI PRIMARY SCHOOL",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,007,12/01/02/007,"UFA II, NR EDEKI'S HOUSE",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,008,12/01/02/008,"UFA II, BY OVOKO'S HOUSE",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,009,12/01/02/009,"UFA II, BY OMOLOJU'S COMP.",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,010,12/01/02/010,"UFA II, UFA HALL",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,011,12/01/02/011,"UFA II, NR. ADAMAGBO'S HOUSE",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,012,12/01/02/012,"UFA II, NR. ADAMS HS",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,013,12/01/02/013,"UFA II, AKUKU P/S I",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,014,12/01/02/014,"UFA II, AKUKU P/S II",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,015,12/01/02/015,ITUA PRY SCHOOL II,Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,016,12/01/02/016,"UTUA I, OPPOSITE AJAYI'S COMP",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,017,12/01/02/017,"UTUA I, OPPOSITE CUSTOMARY COURT II",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,018,12/01/02/018,"UTUA I, OPEN SPACE NR GADIMOH'S HOUSE II",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,019,12/01/02/019,"UTUA I, OPP GODSTIME NURSERY SCHOOL",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,020,12/01/02/020,"UFA II, IRETOJI PRY SCHOOL II",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,021,12/01/02/021,"UFA II, ANGLICAN GRAMMAR IGARRA",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,022,12/01/02/022,"UFA II, FRONT OF J.T SAIKI'S HOUSE",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,023,12/01/02/023,"OPEN SPACE OPPOSITE AFEKHAI'S HOUSE, UFA II.",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,024,12/01/02/024,"UFA II, OPEN SPACE OPPOSITE ADAMS HOUSE",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,025,12/01/02/025,"OPEN SPACE BY ALAFIA JUNCTION, UFA II",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,026,12/01/02/026,"OPEN SPACE OPPOSITE  ADAM'S HOUSE, UFA II.",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,027,12/01/02/027,"UFA II, AKUKU PRY HEALTH CENTER, OPEN SPACE",Igarra Ii,Akoko Edo
EDO,01,02,12,01,02,028,12/01/02/028,OPEN  SPACE BY  AKUKU ST PETERS ANG CHURCH.,Igarra Ii,Akoko Edo
